ANALISIS RISIKO MISGRADING PER CABANG,,,,,,,,,,,,,
"FORMULA:  [F] Total_Aggr = D+E  |  [G] Rate_Aggr% = F/B  |  [I] Total_Cons = G+H  |  [J] Rate_Cons% = I/B  |  [K] Status_Aggr: IF(G>5%,""URGENT"",IF(G>2%,""NEED TO MONITOR"",""NEUTRAL""))  |  [L] Status_Cons: sama",,,,,,,,,,,,,
Cabang,Total Transaksi,QC Aggressive,IA Aggressive,Total Aggressive,Rate Aggressive %,QC Conservative,IA Conservative,Total Conservative,Rate Conservative %,Status Aggressive,Status Conservative,Avg Misgrade Rate QC%,Avg Offload Loss QC%
Cipinang Muara,407,9,0,9,2.21%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.99%,-0.13%
Bojong Gede,350,9,4,13,3.71%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.17%,-0.09%
Tebet Saharjo,933,9,1,10,1.07%,0,1,1,0.11%,NEUTRAL,NEUTRAL,0.46%,-0.19%
Grogol Depok,204,9,9,18,8.82%,0,0,0,0.00%,URGENT,NEUTRAL,0.00%,0.00%
Pondok Kopi,257,8,5,13,5.06%,0,0,0,0.00%,URGENT,NEUTRAL,2.23%,-0.21%
Muchtar Raya,485,8,0,8,1.65%,0,1,1,0.21%,NEUTRAL,NEUTRAL,0.63%,-0.11%
Sukahati,293,8,3,11,3.75%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.26%,-0.05%
Kalimulya,341,7,5,12,3.52%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.53%,-0.13%
Mangga Besar,815,7,3,10,1.23%,1,0,1,0.12%,NEUTRAL,NEUTRAL,0.29%,-0.09%
Raden Saleh,309,6,3,9,2.91%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.69%,-0.25%
Panjang Arteri,346,6,10,16,4.62%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,2.03%,-0.09%
Kampung Makasar,264,6,3,9,3.41%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,1.01%,-0.01%
Cilincing Baru,252,5,3,8,3.17%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,2.08%,-0.07%
Jengki,543,5,3,8,1.47%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.91%,-0.16%
Tebet Barat,144,4,3,7,4.86%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
Andara,137,3,2,5,3.65%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
H. Mawi,298,2,3,5,1.68%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.33%,-0.10%
Margonda Raya,275,2,1,3,1.09%,0,1,1,0.36%,NEUTRAL,NEUTRAL,0.63%,-0.28%
Jambore Cibubur,78,0,3,3,3.85%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
Ir H Juanda,32,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Guru Mughni,57,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Hayam Wuruk,70,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Bojong Kulur,40,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Bintaro,120,0,6,6,5.00%,0,2,2,1.67%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
Buaran Raya,43,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Cinangka,110,0,4,4,3.64%,0,1,1,0.91%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
Bintara,143,0,1,1,0.70%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Bangun Cipta Sarana,3,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
KH Agus Salim 2,6,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
KH Dewantara,115,0,9,9,7.83%,0,0,0,0.00%,URGENT,NEUTRAL,0.00%,0.00%
Kalideres,46,0,2,2,4.35%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
Kalimalang Indah,29,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Kelapa Gading,131,0,1,1,0.76%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Kramat Jaya Cilincing,26,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Pasar Parung,177,0,3,3,1.69%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Palmerah Barat,121,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Pahlawan,78,0,0,0,0.00%,0,3,3,3.85%,NEUTRAL,NEED TO MONITOR,0.00%,0.00%
Moh Mansyur,95,0,1,1,1.05%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Mayor Oking,116,0,6,6,5.17%,0,0,0,0.00%,URGENT,NEUTRAL,0.00%,0.00%
Kartini,45,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Percetakan Negara,60,0,1,1,1.67%,0,1,1,1.67%,NEUTRAL,NEUTRAL,0.00%,0.00%
Petukangan,78,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Raya Industri,122,0,1,1,0.82%,0,2,2,1.64%,NEUTRAL,NEUTRAL,0.00%,0.00%
Pulo Jahe,45,0,0,0,0.00%,0,5,5,11.11%,NEUTRAL,URGENT,0.00%,0.00%
Proklamasi,9,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Pondok Kelapa,31,0,0,0,0.00%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Pilar Sukatani,103,0,0,0,0.00%,0,2,2,1.94%,NEUTRAL,NEUTRAL,0.00%,0.00%
Sumberjaya,201,0,7,7,3.48%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
Sukaresmi,152,0,3,3,1.97%,0,0,0,0.00%,NEUTRAL,NEUTRAL,0.00%,0.00%
Sukatani,76,0,3,3,3.95%,0,0,0,0.00%,NEED TO MONITOR,NEUTRAL,0.00%,0.00%
